LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,UTIL_1,UTIL_2,UTIL_3,UTIL_4,UTIL_5,UTIL_6,UTIL_AVG,PAY_RATIO_1,PAY_RATIO_2,PAY_RATIO_3,PAY_RATIO_4,PAY_RATIO_5,PAYRATIO_AVG,MAX_DELAY,SUM_DELAYS,NUM_MONTHS_LATE,WORSENING,BILL_TREND,HEADROOM,BILL_STD,PAYAMT_STD,default
50000,2,1,2,26,1,2,0,0,0,0,42207,42226,38859,39475,40187,40992,2200,1962,1562,1500,1474,2300,0.84414,0.84452,0.77718,0.7895,0.80374,0.81984,0.8131533333333333,0.0521006015251267,0.0504902339226434,0.03956934768841039,0.03732550327220245,0.03595823575331772,0.04308878443234014,2,3,2,1,1215,7793,1401.9494522509242,369.494248940359,0.0
150000,2,1,2,26,-1,-1,-1,0,-1,0,38052,0,18600,18400,1527,1527,0,18600,0,1527,0,0,0.25368,0.0,0.124,0.12266666666666666,0.01018,0.01018,0.08678444444444444,,1.0,0.0,1.0,0.0,0.5,0,0,0,-1,36525,111948,14969.170246432055,7493.673431635515,0.0
450000,2,2,1,38,-2,-2,-2,-2,-2,-2,10972,15005,13887,17255,17515,0,15008,1200,5255,4566,0,3648,0.024382222222222222,0.03334444444444445,0.03086,0.038344444444444445,0.03892222222222222,0.0,0.02764222222222222,1.0001999333555482,0.08641175199827177,0.30454940596928426,0.2606908364259206,,0.41296298193725617,-2,0,0,0,10972,439028,6550.13743367267,5322.855640224208,0.0
230000,2,2,2,30,0,0,0,0,0,0,112402,116273,118467,108826,100862,92481,6000,6000,4000,4000,3500,4000,0.48870434782608696,0.5055347826086957,0.5150739130434783,0.4731565217391304,0.43853043478260867,0.4020913043478261,0.47051521739130436,0.051602693660609086,0.05064701562460432,0.03675592229798026,0.039658146774801215,0.03784561153101718,0.04330187797780242,0,0,0,0,19921,117598,9895.094234013135,1114.300976696452,0.0
160000,2,2,2,34,-1,-1,-1,-1,-1,-1,18958,11842,7918,13780,12297,12752,24000,8000,13780,12300,12752,6000,0.1184875,0.0740125,0.0494875,0.086125,0.07685625,0.0797,0.08077812499999999,2.0266846816416146,1.0103561505430665,1.0,1.000243961941937,1.0,1.2074569588253237,-1,0,0,0,6206,141042,3571.9844204587453,6259.91267244733,0.0
140000,2,2,2,32,-1,0,0,0,-1,0,15497,15073,11755,7453,38415,31685,1231,1262,1000,38415,4000,4000,0.11069285714285715,0.10766428571428571,0.08396428571428571,0.05323571428571429,0.27439285714285716,0.22632142857142856,0.14271190476190476,0.08166920984541896,0.10735857082092727,0.13417415805715818,1.0,0.1262427015938141,0.28988892806346367,0,0,0,-1,-16188,124503,12211.539962947616,14810.033666403328,0.0
150000,2,3,2,28,0,0,0,0,0,0,101593,101886,101441,100829,101913,96704,4000,4032,3410,4000,3665,3050,0.6772866666666667,0.67924,0.6762733333333333,0.6721933333333333,0.67942,0.6446933333333333,0.6715177777777778,0.03925956461142846,0.03974724223933124,0.033819635223993096,0.03924916350220286,0.037899156187954995,0.03799495235298213,0,0,0,0,4889,48407,2010.2019467373586,399.43480903229585,0.0
150000,2,1,2,34,-2,-1,2,0,0,-2,0,13206,10227,398,0,0,13206,0,0,0,0,0,0.0,0.08804,0.06818,0.0026533333333333335,0.0,0.0,0.02647888888888889,1.0,0.0,0.0,,,0.3333333333333333,2,2,1,0,0,150000,6074.464730876842,5391.326923865775,0.0
220000,2,1,1,37,0,0,0,0,0,0,152197,154167,158981,162348,164162,168013,6000,7300,7500,6000,6500,7000,0.6918045454545455,0.7007590909090909,0.7226409090909091,0.7379454545454546,0.7461909090909091,0.7636954545454545,0.7271727272727273,0.03891883477008699,0.04591743667482278,0.046197058171335646,0.03654926231405563,0.03868748251623386,0.04125401488930698,0,0,0,0,-15816,67803,6049.622665918925,649.3586579592719,0.0
60000,2,2,2,21,0,0,0,0,0,0,40969,32724,24975,25475,26010,26183,1859,1410,910,939,1000,1000,0.6828166666666666,0.5454,0.41625,0.4245833333333333,0.4335,0.43638333333333335,0.48982222222222216,0.05680845862364014,0.05645645645645646,0.03572129538763494,0.03610149942329873,0.038192720467478895,0.044656086071701837,0,0,0,0,14786,19031,6351.653223111812,376.69120864000354,0.0
