iter	Passed	Remaining
0	144	288560
1	295	295241
2	403	268594
3	530	264768
4	653	260866
5	767	255162
6	892	254087
7	1007	250832
8	1141	252459
9	1266	252080
10	1422	257150
11	1516	251188
12	1595	243858
13	1685	239156
14	1773	234718
15	1876	232722
16	1974	230296
17	2067	227705
18	2185	227866
19	2278	225615
20	2389	225226
21	2494	224264
22	2587	222428
23	2682	220840
24	2782	219813
25	2903	220469
26	3004	219582
27	3128	220309
28	3229	219476
29	3331	218799
30	3432	218009
31	3534	217360
32	3621	215838
33	3702	214069
34	3787	212656
35	3867	211009
36	3943	209224
37	4008	206987
38	4079	205109
39	4205	206076
40	4274	204233
41	4342	202427
42	4411	200791
43	4476	198979
44	4676	203179
45	4748	201692
46	4820	200296
47	4890	198874
48	4959	197471
49	5021	195830
50	5091	194593
51	5166	193534
52	5234	192312
53	5299	190987
54	5370	189907
55	5440	188876
56	5503	187617
57	5571	186551
58	5637	185460
59	5704	184444
60	5784	183885
61	5851	182895
62	5920	182041
63	5986	181081
64	6058	180345
65	6127	179554
66	6193	178674
67	6258	177828
68	6327	177084
69	6391	176214
70	6457	175435
71	6524	174698
72	6592	174021
73	6659	173325
74	6728	172688
75	6799	172138
76	6867	171500
77	6930	170769
78	6997	170156
79	7062	169510
80	7138	169111
81	7218	168841
82	7285	168265
83	7364	167973
84	7437	167555
85	7503	167001
86	7566	166379
87	7632	165824
88	7694	165205
89	7762	164728
90	7826	164181
91	7901	163873
92	7978	163609
93	8068	163592
94	8172	163881
95	8248	163604
96	8318	163201
97	8393	162897
98	8481	162870
99	8553	162511
100	8623	162131
101	8707	162030
102	8795	161987
103	8872	161757
104	8941	161367
105	9022	161204
106	9094	160903
107	9161	160501
108	9226	160075
109	9290	159626
110	9358	159264
111	9424	158874
112	9491	158493
113	9555	158088
114	9624	157764
115	9686	157322
116	9757	157034
117	9819	156616
118	9882	156204
119	9940	155740
120	10003	155341
121	10063	154914
122	10127	154553
123	10191	154182
124	10256	153841
125	10548	156883
126	10772	158880
127	10897	159373
128	10988	159377
129	11076	159324
130	11241	160384
131	11343	160528
132	11430	160452
133	11511	160306
134	11594	160172
135	11683	160127
136	11781	160214
137	11865	160101
138	11948	159973
139	12032	159853
140	12116	159747
141	12196	159588
142	12283	159516
143	12368	159415
144	12457	159365
145	12534	159169
146	12622	159110
147	12703	158960
148	12775	158711
149	12861	158630
150	12981	158964
151	13116	159469
152	13207	159444
153	13304	159486
154	13405	159570
155	13526	159888
156	13633	160036
157	13735	160126
158	13891	160844
159	13990	160888
160	14092	160966
161	14182	160909
162	14272	160848
163	14357	160736
164	14438	160572
165	14513	160353
166	14593	160181
167	14676	160038
168	14766	159988
169	14844	159798
170	14922	159608
171	14994	159357
172	15073	159188
173	15152	159013
174	15237	158900
175	15320	158774
176	15399	158610
177	15479	158449
178	15566	158365
179	15641	158148
180	15727	158053
181	15816	157987
182	15906	157934
183	15990	157824
184	16065	157613
185	16143	157440
186	16224	157301
187	16306	157165
188	16386	157017
189	16468	156883
190	16543	156688
191	16627	156578
192	16710	156457
193	16784	156251
194	16863	156098
195	16951	156022
196	17051	156057
197	17172	156286
198	17272	156317
199	17350	156154
200	17444	156131
201	17540	156126
202	17635	156113
203	17726	156058
204	17816	155999
205	17939	156231
206	18031	156188
207	18124	156149
208	18231	156232
209	18342	156346
210	18423	156207
211	18507	156090
212	18580	155881
213	18664	155771
214	18741	155599
215	18823	155471
216	18930	155541
217	19015	155438
218	19108	155394
219	19195	155312
220	19286	155248
221	19363	155085
222	19442	154928
223	19523	154790
224	19597	154598
225	19681	154494
226	19769	154414
227	19841	154207
228	19919	154046
229	19993	153864
230	20072	153715
231	20137	153460
232	20219	153338
233	20300	153208
234	20381	153077
235	20459	152922
236	20547	152846
237	20625	152700
238	20707	152574
239	20782	152402
240	20874	152356
241	20987	152460
242	21080	152421
243	21179	152423
244	21275	152399
245	21350	152230
246	21431	152100
247	21510	151962
248	21643	152200
249	21722	152057
250	21802	151923
251	21877	151756
252	21950	151569
253	22032	151450
254	22106	151279
255	22179	151100
256	22258	150959
257	22398	151235
258	22480	151112
259	22553	150931
260	22628	150767
261	22707	150635
262	22785	150486
263	22864	150349
264	22941	150201
265	23019	150060
266	23098	149926
267	23173	149760
268	23254	149641
269	23327	149470
270	23400	149299
271	23470	149109
272	23557	149023
273	23665	149077
274	23759	149036
275	23836	148893
276	23913	148746
277	23988	148589
278	24061	148419
279	24134	148256
280	24214	148127
281	24294	148005
282	24366	147837
283	24443	147696
284	24519	147544
285	24596	147409
286	24669	147242
287	24745	147095
288	24824	146968
289	24902	146839
290	24976	146683
291	25052	146542
292	25122	146363
293	25195	146204
294	25284	146135
295	25356	145972
296	25437	145856
297	25537	145854
298	25649	145920
299	25729	145801
300	25812	145700
301	25896	145605
302	25977	145492
303	26008	145100
304	26083	144954
305	26174	144898
306	26252	144773
307	26329	144638
308	26406	144507
309	26482	144374
310	26560	144245
311	26654	144207
312	26748	144166
313	26822	144021
314	26899	143890
315	26984	143801
316	27062	143680
317	27140	143552
318	27230	143491
319	27313	143396
320	27401	143322
321	27477	143192
322	27560	143090
323	27635	142953
324	27712	142825
325	27794	142723
326	27878	142629
327	27954	142500
328	28037	142405
329	28119	142299
330	28197	142178
331	28281	142087
332	28366	142002
333	28442	141870
334	28522	141761
335	28609	141684
336	28723	141743
337	28835	141786
338	28915	141676
339	29008	141631
340	29095	141551
341	29170	141419
342	29252	141317
343	29335	141219
344	29415	141107
345	29493	140990
346	29570	140866
347	29646	140736
348	29720	140595
349	29806	140518
350	29883	140391
351	29957	140254
352	30033	140128
353	30120	140053
354	30194	139916
355	30280	139833
356	30369	139769
357	30458	139702
358	30530	139557
359	30611	139451
360	30684	139311
361	30759	139183
362	30834	139052
363	30908	138916
364	30982	138786
365	31064	138686
366	31135	138540
367	31213	138426
368	31294	138321
369	31365	138178
370	31446	138075
371	31548	138068
372	31646	138039
373	31720	137908
374	31797	137790
375	31877	137682
376	31949	137544
377	32030	137442
378	32109	137332
379	32183	137203
380	32267	137113
381	32341	136986
382	32416	136862
383	32492	136737
384	32578	136658
385	32651	136526
386	32724	136395
387	32797	136262
388	32878	136161
389	32954	136043
390	33030	135922
391	33104	135797
392	33180	135678
393	33262	135582
